Domain Accession	Domain name	Count	Proteins	Accession proteins
IPR006828	Association with the SNF1 complex (ASC) domain	3	['SIP2', 'SIP1', 'GAL83']	['P34164', 'P32578', 'Q04739']
IPR032640	AMP-activated protein kinase, glycogen-binding domain	6	['SIP2', 'SIP1', 'GAL83', 'MDG1', 'CRP1', '[]']	['P34164', 'P32578', 'Q04739', 'P53885', 'P38845', 'P40543']
IPR000504	RNA recognition motif domain	100	['PIN4', 'WHI3', 'NAB3', 'NRD1', 'BRE5', 'YRA1', 'PAB1', 'PAB1', 'PAB1', 'PAB1', 'NOP4', 'NOP4', 'NOP4', 'NOP4', 'IST3', 'CBC2', 'MUD1', 'MUD1', 'LHP1', 'NAM8', 'NAM8', 'NAM8', 'NPL3', 'NPL3', 'SBP1', 'SBP1', 'RNA15', 'TIF3', 'RIM4', 'RIM4', 'HRB1', 'HRB1', 'HRB1', 'MRD1', 'MRD1', 'MRD1', 'MRD1', 'MRD1', 'MRN1', 'MRN1', 'MRN1', 'MRN1', 'CWC2', 'PRT1', 'GBP2', 'GBP2', 'GBP2', 'NSR1', 'NSR1', 'PUB1', 'PUB1', 'PUB1', 'MOT2', 'NOP15', 'SNP1', 'TIF35', 'HRP1', 'HRP1', 'PES4', 'PES4', 'PES4', 'PES4', 'PRP24', 'PRP24', 'PRP24', 'PRP24', 'NAB6', 'NAB6', 'NGR1', 'NGR1', 'NGR1', 'PTI1', 'MSL1', 'MIP6', 'MIP6', 'MIP6', 'MIP6', 'CUS2', 'CUS2', 'NOP6', 'YME2', 'NOP8', 'HSH49', 'HSH49', 'YRA2', 'JSN1', 'NOP12', 'NOP12', 'WHI4', 'SGN1', 'RRT5', 'PUF2', 'NRP1', 'NOP13', 'NOP13', '[]', '[]', '[]', 'RNP1', 'RNP1']	['P34217', 'P34761', 'P38996', 'P53617', 'P53741', 'Q12159', 'P04147', 'P04147', 'P04147', 'P04147', 'P37838', 'P37838', 'P37838', 'P37838', 'P40565', 'Q08920', 'P32605', 'P32605', 'P33399', 'Q00539', 'Q00539', 'Q00539', 'Q01560', 'Q01560', 'P10080', 'P10080', 'P25299', 'P34167', 'P38741', 'P38741', 'P38922', 'P38922', 'P38922', 'Q06106', 'Q06106', 'Q06106', 'Q06106', 'Q06106', 'Q08925', 'Q08925', 'Q08925', 'Q08925', 'Q12046', 'P06103', 'P25555', 'P25555', 'P25555', 'P27476', 'P27476', 'P32588', 'P32588', 'P32588', 'P34909', 'P53927', 'Q00916', 'Q04067', 'Q99383', 'Q99383', 'P39684', 'P39684', 'P39684', 'P39684', 'P49960', 'P49960', 'P49960', 'P49960', 'Q03735', 'Q03735', 'P32831', 'P32831', 'P32831', 'P39927', 'P40567', 'P38760', 'P38760', 'P38760', 'P38760', 'P53830', 'P53830', 'Q07623', 'P32843', 'Q08287', 'Q99181', 'Q99181', 'P36036', 'P47135', 'Q08208', 'Q08208', 'Q07655', 'P40561', 'P43607', 'Q12221', 'P32770', 'P53883', 'P53883', 'P53316', 'P53316', 'P53316', 'P32385', 'P32385']
IPR034069	R3H domain, Cip2-type	1	['PIN4']	['P34217']
IPR000679	Zinc finger, GATA-type	10	['ASH1', 'GLN3', 'DAL80', 'GAT1', 'GZF3', 'SRD1', 'ECM23', 'GAT3', 'GAT2', 'GAT4']	['P34233', 'P18494', 'P26343', 'P43574', 'P42944', 'P09007', 'Q02710', 'Q07928', 'P40209', 'P40569']
IPR021714	Nucleolar pre-ribosomal-associated protein 1, N-terminal	1	['URB1']	['P34241']
IPR032436	Nucleolar pre-ribosomal-associated protein 1, C-terminal domain	1	['URB1']	['P34241']
IPR000306	FYVE zinc finger	6	['FAB1', 'PEP7', 'PEP7', 'VPS27', 'PIB2', 'PIB1']	['P34756', 'P32609', 'P32609', 'P40343', 'P53191', 'Q06651']
IPR002498	Phosphatidylinositol-4-phosphate 4/5-kinase, core	2	['FAB1', 'MSS4']	['P34756', 'P38994']
IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	4	['TSA1', 'PRX1', 'DOT5', 'TSA2']	['P34760', 'P34227', 'P40553', 'Q04120']
IPR019479	Peroxiredoxin, C-terminal	3	['TSA1', 'PRX1', 'TSA2']	['P34760', 'P34227', 'Q04120']
IPR002056	Protein import receptor MAS20	1	['TOM20']	['P35180']
IPR012961	ATP-dependent RNA helicase Ski2/MTR4, C-terminal	2	['SKI2', 'MTR4']	['P35207', 'P47047']
IPR040801	Ski2, N-terminal domain	1	['SKI2']	['P35207']
IPR048392	Exosome RNA helicase MTR4-like, stalk	2	['SKI2', 'MTR4']	['P35207', 'P47047']
IPR048727	Ski2, beta-barrel domain	1	['SKI2']	['P35207']
IPR000182	GNAT domain	15	['SPT10', 'KRE33', 'HPA2', 'NAT3', 'ARD1', 'HPA3', 'GCN5', 'MAK3', 'ELP3', 'NAT5', 'HAT1', 'GNA1', 'NAT4', 'PAA1', '[]']	['P35208', 'P53914', 'Q06592', 'Q06504', 'P07347', 'P39979', 'Q03330', 'Q03503', 'Q02908', 'Q08689', 'Q12341', 'P43577', 'Q04751', 'Q12447', 'P40586']
IPR015416	Zinc finger, H2C2-type, histone UAS binding	1	['SPT10']	['P35208']
IPR055090	Nucleoporin NUP120, helical domain, saccharomycetes	1	['NUP120']	['P35729']
IPR000648	Oxysterol-binding protein	4	['KES1', 'OSH6', 'HES1', 'OSH7']	['P35844', 'Q02201', 'P35843', 'P38755']
IPR012301	Malic enzyme, N-terminal domain	1	['MAE1']	['P36013']
IPR012302	Malic enzyme, NAD-binding	1	['MAE1']	['P36013']
IPR007567	Mid2 domain	2	['MID2', 'MTL1']	['P36027', 'P53214']
IPR013112	FAD-binding 8	8	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5']	['P36033', 'P53109', 'Q12333', 'P53746', 'Q08905', 'P32791', 'Q12473', 'Q08908']
IPR013121	Ferric reductase, NAD binding domain	8	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5']	['P36033', 'P53109', 'Q12333', 'P53746', 'Q08905', 'P32791', 'Q12473', 'Q08908']
IPR013130	Ferric reductase transmembrane component-like domain	9	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5', 'FRE8']	['P36033', 'P53109', 'Q12333', 'P53746', 'Q08905', 'P32791', 'Q12473', 'Q08908', 'Q12209']
IPR050576	Ciliary and flagellar integrity-associated protein	1	['SDS22']	['P36047']
IPR000640	Elongation factor EFG, domain V-like	6	['SNU114', 'RIA1', 'EFT1', 'GUF1', 'MEF1', 'MEF2']	['P36048', 'P53893', 'P32324', 'P46943', 'P25039', 'P39677']
IPR005517	Translation elongation factor EFG/EF2, domain IV	3	['SNU114', 'EFT1', 'MEF1']	['P36048', 'P32324', 'P25039']
IPR031950	116kDa U5 small nuclear ribonucleoprotein component, N-terminal	1	['SNU114']	['P36048']
IPR002625	Smr domain	2	['CUE2', '[]']	['P36075', 'Q08954']
IPR003892	Ubiquitin system component CUE	9	['CUE2', 'CUE2', 'CUE1', 'VPS9', 'CUE5', 'DEF1', 'CUE3', 'DON1', 'CUE4']	['P36075', 'P36075', 'P38428', 'P54787', 'Q08412', 'P35732', 'P53137', 'Q05610', 'Q04201']
IPR028000	Pma1 stabilization in the Golgi protein 1	1	['PSG1']	['P36081']
IPR005198	Glycoside hydrolase, family 76	2	['DCW1', 'DFG5']	['P36091', 'Q05031']
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	6	['AUR1', 'LCB3', 'DPP1', 'CAX4', 'LPP1', 'YSR3']	['P36107', 'P47013', 'Q05521', 'P53223', 'Q04396', 'P23501']
IPR001214	SET domain	12	['SET3', 'SET2', 'SET1', 'SET5', 'CTM1', 'SET4', 'RKM2', 'RKM1', 'EFM1', 'RKM3', 'RKM4', 'SET6']	['P36124', 'P46995', 'P38827', 'P38890', 'P38818', 'P42948', 'Q03942', 'Q08961', 'P38732', 'P38222', 'Q12504', 'Q12529']
IPR001965	Zinc finger, PHD-type	18	['SET3', 'JHD1', 'YNG1', 'RCO1', 'RCO1', 'CTI6', 'YNG2', 'JHD2', 'SNT2', 'SNT2', 'SNT2', 'SPP1', 'PHO23', 'NTO1', 'NTO1', 'BYE1', 'ECM5', 'SET4']	['P36124', 'P40034', 'Q08465', 'Q04779', 'Q04779', 'Q08923', 'P38806', 'P47156', 'P53127', 'P53127', 'P53127', 'Q03012', 'P50947', 'Q12311', 'Q12311', 'P36106', 'Q03214', 'P42948']
IPR005556	SUN family	5	['UTH1', 'SUN4', 'SIM1', 'NCA3', '[]']	['P36135', 'P53616', 'P40472', 'P46955', 'Q04018']
IPR000644	CBS domain	23	['GEF1', 'GEF1', 'IMD2', 'IMD2', 'IMD4', 'IMD4', 'IMD3', 'IMD3', 'SNF4', 'SNF4', 'SNF4', 'SNF4', 'CYS4', 'CYS4', 'MAM3', 'IMD1', 'IMD1', 'SDS23', 'SDS23', 'SDS24', 'SDS24', 'SDS24', 'SDS24']	['P37020', 'P37020', 'P38697', 'P38697', 'P50094', 'P50094', 'P50095', 'P50095', 'P12904', 'P12904', 'P12904', 'P12904', 'P32582', 'P32582', 'Q12296', 'P39567', 'P39567', 'P53172', 'P53172', 'P38314', 'P38314', 'P38314', 'P38314']
IPR003124	WH2 domain	3	['VRP1', 'VRP1', 'LAS17']	['P37370', 'P37370', 'Q12446']
IPR000131	ATP synthase, F1 complex, gamma subunit	1	['ATP3']	['P38077']
IPR007185	DNA polymerase alpha/delta/epsilon, subunit B	3	['POL12', 'DPB2', 'POL31']	['P38121', 'P24482', 'P46957']
IPR054300	DNA polymerase alpha subunit B, OB domain	1	['POL12']	['P38121']
IPR007582	TFIID subunit TAF5, NTD2 domain	1	['TAF5']	['P38129']
IPR001208	MCM domain	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']	['P38132', 'P53091', 'P29469', 'P29496', 'P30665', 'P24279']
IPR027925	MCM, N-terminal domain	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']	['P38132', 'P53091', 'P29469', 'P29496', 'P30665', 'P24279']
IPR033762	MCM OB domain	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']	['P38132', 'P53091', 'P29469', 'P29496', 'P30665', 'P24279']
IPR041562	MCM, AAA-lid domain	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']	['P38132', 'P53091', 'P29469', 'P29496', 'P30665', 'P24279']
IPR000873	AMP-dependent synthetase/ligase domain	10	['PCS60', 'FAA4', 'ACS1', 'LYS2', 'FAT1', 'FAA1', 'FAA3', 'FAA2', 'ACS2', '[]']	['P38137', 'P47912', 'Q01574', 'P07702', 'P38225', 'P30624', 'P39002', 'P39518', 'P52910', 'Q12275']
IPR025110	AMP-binding enzyme, C-terminal domain	3	['PCS60', 'ACS1', 'ACS2']	['P38137', 'Q01574', 'P52910']
IPR015194	ISWI, HAND domain	2	['ISW1', 'ISW2']	['P38144', 'Q08773']
IPR015195	SLIDE domain	2	['ISW1', 'ISW2']	['P38144', 'Q08773']
IPR011650	Peptidase M20, dimerisation domain	4	['DUG2', 'DUG1', 'CPS1', '[]']	['P38149', 'P43616', 'P27614', 'P0C155']
IPR020999	Chitin synthesis regulation, Congo red resistance, RCR protein	2	['RCR1', 'RCR2']	['P38212', 'Q03446']
IPR001844	Chaperonin Cpn60/GroEL	2	['TCM62', 'HSP60']	['P38228', 'P19882']
IPR013904	Transcriptional regulatory protein RXT2, N-terminal	1	['RXT2']	['P38255']
IPR032403	Exocyst component Exo84, C-terminal	1	['EXO84']	['P38261']
IPR031398	SWI5-dependent HO expression protein 3	1	['SHE3']	['P38272']
IPR035075	PRMT5 arginine-N-methyltransferase	1	['HSL7']	['P38274']
IPR035247	PRMT5, TIM barrel domain	1	['HSL7']	['P38274']
IPR035248	PRMT5, oligomerisation domain	1	['HSL7']	['P38274']
IPR051706	Glycosyltransferase domain-containing protein	2	['CSH1', 'SUR1']	['P38287', 'P33300']
IPR004923	Iron permease FTR1/Fip1/EfeU	2	['FTH1', 'FTR1']	['P38310', 'P40088']
IPR007242	Ubiquitin-like protein Atg12	1	['ATG12']	['P38316']
IPR018491	SLC12A transporter, C-terminal	1	['VHC1']	['P38329']
IPR040752	DNA mismatch repair protein HSM3, C-terminal domain	1	['HSM3']	['P38348']
IPR041335	DNA mismatch repair protein HSM3, N-terminal domain	1	['HSM3']	['P38348']
IPR051553	Ran GTPase-activating	2	['SAF1', 'SRM1']	['P38352', 'P21827']
IPR019325	NEDD4/Bsd2	1	['BSD2']	['P38356']
IPR006121	Heavy metal-associated domain, HMA	5	['PCA1', 'CCS1', 'ATX1', 'CCC2', 'CCC2']	['P38360', 'P40202', 'P38636', 'P38995', 'P38995']
IPR044492	P-type ATPase, haloacid dehalogenase domain	15	['PCA1', 'SPF1', 'DNF2', 'PMR1', 'PMC1', 'ENA5', 'PMA1', 'ENA1', 'CCC2', 'ENA2', 'PMA2', 'DNF1', 'DRS2', 'NEO1', 'YPK9']	['P38360', 'P39986', 'Q12675', 'P13586', 'P38929', 'Q12691', 'P05030', 'P13587', 'P38995', 'Q01896', 'P19657', 'P32660', 'P39524', 'P40527', 'Q12697']
IPR041158	Cue1, Ubc7p-binding domain	1	['CUE1']	['P38428']
IPR002735	Translation initiation factor IF2/IF5 domain	2	['TIF5', 'SUI3']	['P38431', 'P09064']
IPR003307	W2 domain	2	['TIF5', 'GCD6']	['P38431', 'P32501']
IPR000243	Peptidase T1A, proteasome beta-subunit	8	['PRE3', 'PRE3', 'PRE3', 'PRE3', 'PRE2', 'PRE2', 'PRE2', 'PRE2']	['P38624', 'P38624', 'P38624', 'P38624', 'P30656', 'P30656', 'P30656', 'P30656']
IPR004181	Zinc finger, MIZ-type	3	['MMS21', 'SIZ1', 'NFI1']	['P38632', 'Q04195', 'Q12216']
IPR054753	E3 SUMO-protein ligase MMS21, N-terminal domain	1	['MMS21']	['P38632']
IPR018767	Brl1/Brr6 domain	2	['BRL1', 'BRR6']	['P38770', 'P53062']
IPR024061	NDT80 DNA-binding domain	1	['NDT80']	['P38830']
IPR029347	Raptor, N-terminal CASPase-like domain	1	['KOG1']	['P38873']
IPR002715	Nascent polypeptide-associated complex NAC domain	3	['EGD2', 'EGD1', 'BTT1']	['P38879', 'Q02642', 'P40314']
IPR044034	Nascent polypeptide-associated complex subunit alpha-like, UBA domain	1	['EGD2']	['P38879']
IPR001382	Glycoside hydrolase family 47	3	['MNL1', 'MNS1', 'MNL2']	['P38888', 'P32906', 'Q12205']
IPR000232	Heat shock factor (HSF)-type, DNA-binding	5	['SKN7', 'HSF1', 'SFL1', 'HMS2', 'MGA1']	['P38889', 'P10961', 'P20134', 'P47175', 'P53050']
IPR001789	Signal transduction response regulator, receiver domain	4	['SKN7', 'SLN1', 'RIM15', 'SSK1']	['P38889', 'P39928', 'P43565', 'Q07084']
IPR006644	Dystroglycan-type cadherin-like	4	['AXL2', 'AXL2', 'AXL2', 'AXL2']	['P38928', 'P38928', 'P38928', 'P38928']
IPR009401	Mediator complex subunit Med13, C-terminal	2	['SSN2', 'SSN2']	['P38931', 'P38931']
IPR021643	Mediator complex, subunit Med13, N-terminal	1	['SSN2']	['P38931']
IPR026841	Inositolphosphotransferase Aur1/Ipt1	1	['IPT1']	['P38954']
IPR016902	Vacuolar protein sorting-associated protein 41	1	['VPS41']	['P38959']
IPR006941	Ribonuclease CAF1	1	['POP2']	['P39008']
IPR039637	CCR4-NOT transcription complex subunit 7/8/Pop2	1	['POP2']	['P39008']
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	9	['PIK1', 'LSB6', 'TOR2', 'TEL1', 'STT4', 'VPS34', 'TOR1', 'MEC1', 'TRA1']	['P39104', 'P42951', 'P32600', 'P38110', 'P37297', 'P22543', 'P35169', 'P38111', 'P38811']
IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain	3	['PIK1', 'STT4', 'VPS34']	['P39104', 'P37297', 'P22543']
IPR001971	Small ribosomal subunit protein uS11	3	['RPS14B', 'RPS14A', 'MRPS18']	['P39516', 'P06367', 'P42847']
IPR000971	Globin	2	['YHB1', '[]']	['P39676', 'P53857']
IPR001433	Oxidoreductase FAD/NAD(P)-binding	8	['YHB1', 'NCP1', 'MCR1', 'CBR1', 'PGA3', 'TAH18', 'MET10', 'AIM33']	['P39676', 'P16603', 'P36060', 'P38626', 'Q12746', 'Q12181', 'P39692', 'Q04516']
IPR008333	Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain	6	['YHB1', 'MCR1', 'CBR1', 'PGA3', 'CYC2', 'AIM33']	['P39676', 'P36060', 'P38626', 'Q12746', 'P38909', 'Q04516']
IPR024545	Mto1-like, Mto2p-binding domain	1	['SPC72']	['P39723']
IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal	2	['ERV46', 'ERV41']	['P39727', 'Q04651']
IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal	2	['ERV46', 'ERV41']	['P39727', 'Q04651']
IPR005343	Nucleolar complex protein 2	1	['NOC2']	['P39744']
IPR006085	XPG, N-terminal	6	['EXO1', 'RAD27', 'RAD2', 'MKT1', 'YEN1', 'DIN7']	['P39875', 'P26793', 'P07276', 'P40850', 'P40028', 'Q12086']
IPR006086	XPG-I domain	6	['EXO1', 'RAD27', 'RAD2', 'MKT1', 'YEN1', 'DIN7']	['P39875', 'P26793', 'P07276', 'P40850', 'P40028', 'Q12086']
IPR037315	Exonuclease-1, H3TH domain	1	['EXO1']	['P39875']
IPR048319	Vps52, coiled-coil domain	1	['VPS52']	['P39904']
IPR048361	Vps52, C-terminal	1	['VPS52']	['P39904']
IPR003660	HAMP domain	1	['SLN1']	['P39928']
IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	1	['SLN1']	['P39928']
IPR005024	Snf7 family	7	['SNF7', 'VPS60', 'DID2', 'VPS20', 'VPS24', 'DID4', '[]']	['P39929', 'Q03390', 'P69771', 'Q04272', 'P36095', 'P36108', 'P47048']
IPR022052	Histone-binding protein RBBP4, N-terminal	3	['HAT2', 'MSI1', 'RRB1']	['P39984', 'P13712', 'Q04225']
IPR026226	Chromatin modification-related protein EAF5	4	['EAF5', 'EAF5', 'EAF5', 'EAF5']	['P39995', 'P39995', 'P39995', 'P39995']
IPR004443	YjeF N-terminal domain	2	['EDC3', 'NNR1']	['P39998', 'P40165']
IPR019050	FDF domain	2	['EDC3', 'SCD6']	['P39998', 'P45978']
IPR047575	Sm domain	2	['EDC3', 'LSM12']	['P39998', 'P38828']
IPR003347	JmjC domain	5	['JHD1', 'GIS1', 'RPH1', 'JHD2', 'ECM5']	['P40034', 'Q03833', 'P39956', 'P47156', 'Q03214']
IPR002912	ACT domain	5	['SER3', 'ILV6', 'SER33', 'HOM3', 'PHA2']	['P40054', 'P25605', 'P40510', 'P10869', 'P32452']
IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	5	['SER3', 'GOR1', 'SER33', 'FDH1', '[]']	['P40054', 'P53839', 'P40510', 'Q08911', 'P0CF36']
IPR012952	BING4, C-terminal domain	1	['UTP7']	['P40055']
IPR028267	Rapamycin-insensitive companion of mTOR, N-terminal domain	1	['TSC11']	['P40061']
IPR029451	Rapamycin-insensitive companion of mTOR, middle domain	1	['TSC11']	['P40061']
IPR029452	Rapamycin-insensitive companion of mTOR, domain 5	1	['TSC11']	['P40061']
IPR029453	Rapamycin-insensitive companion of mTOR, domain 4	1	['TSC11']	['P40061']
IPR000535	Major sperm protein (MSP) domain	2	['SCS2', 'SCS22']	['P40075', 'Q6Q595']
IPR048320	Conserved oligomeric Golgi complex subunit 3, N-terminal	1	['COG3']	['P40094']
IPR048685	Conserved oligomeric Golgi complex subunit 3, C-terminal	1	['COG3']	['P40094']
IPR031430	Outer spore wall protein 5	2	['LDO45', 'LDO16']	['P40218', 'P40219']
IPR000426	Proteasome alpha-subunit, N-terminal domain	7	['PRE6', 'PRE10', 'PRE8', 'PUP2', 'SCL1', 'PRE5', 'PRE9']	['P40303', 'P21242', 'P23639', 'P32379', 'P21243', 'P40302', 'P23638']
IPR013748	Replication factor C, C-terminal	3	['RFC4', 'RFC2', 'RFC3']	['P40339', 'P40348', 'P38629']
IPR003386	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase	2	['LRO1', '[]']	['P40345', 'P47139']
IPR006581	VPS10	8	['VTH1', 'VTH1', 'PEP1', 'PEP1', 'VTH2', 'VTH2', '[]', '[]']	['P40438', 'P40438', 'P32319', 'P32319', 'P40890', 'P40890', 'P53751', 'P53752']
IPR040967	Domain of unknown function DUF5595	1	['NDC80']	['P40460']
IPR006895	Zinc finger, Sec23/Sec24-type	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']	['P40482', 'P15303', 'P38810', 'P53953']
IPR006896	Sec23/Sec24, trunk domain	5	['SEC24', 'SEC23', 'SFB3', 'SFB2', 'NEL1']	['P40482', 'P15303', 'P38810', 'P53953', 'P38769']
IPR006900	Sec23/Sec24, helical domain	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']	['P40482', 'P15303', 'P38810', 'P53953']
IPR007123	Gelsolin-like domain	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']	['P40482', 'P15303', 'P38810', 'P53953']
IPR012990	Sec23/Sec24 beta-sandwich	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']	['P40482', 'P15303', 'P38810', 'P53953']
IPR005301	MOB kinase activator family	2	['MOB1', 'MOB2']	['P40484', 'P43563']
IPR001849	Pleckstrin homology domain	31	['SLM1', 'NUM1', 'SPO71', 'SPO71', 'SYT1', 'SKM1', 'BOI1', 'OSH3', 'SIP3', 'CLA4', 'SLM2', 'ATG26', 'NVJ2', 'BEM3', 'BEM2', 'SWH1', 'SPO14', 'CDC24', 'BOI2', 'BUD4', 'OSH2', 'LMO1', 'ASK10', 'CAF120', 'TUS1', 'LAM1', 'SKG3', 'SKG3', 'RGC1', 'OPY1', 'OPY1']	['P40485', 'Q00402', 'Q03868', 'Q03868', 'Q06836', 'Q12469', 'P38041', 'P38713', 'P38717', 'P48562', 'P53955', 'Q06321', 'Q06833', 'P32873', 'P39960', 'P35845', 'P36126', 'P11433', 'P39969', 'P47136', 'Q12451', 'Q07799', 'P48361', 'P53836', 'Q06412', 'P38851', 'Q06315', 'Q06315', 'Q06108', 'P38271', 'P38271']
IPR046868	SLM1/RGC1-like, BAR-like domain	4	['SLM1', 'SLM2', 'ASK10', 'RGC1']	['P40485', 'P53955', 'P48361', 'Q06108']
IPR003163	Transcription regulator HTH, APSES-type DNA-binding domain	5	['XBP1', 'SWI4', 'MBP1', 'PHD1', 'SOK2']	['P40489', 'P25302', 'P39678', 'P36093', 'P53438']
IPR006595	CTLH, C-terminal LisH motif	4	['FYV10', 'RMD5', 'VID30', 'GID8']	['P40492', 'Q12508', 'P53076', 'P40208']
IPR024964	CTLH/CRA C-terminal to LisH motif domain	2	['FYV10', 'RMD5']	['P40492', 'Q12508']
IPR044063	Gid-type RING finger domain	1	['FYV10']	['P40492']
IPR001104	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	2	['DFG10', 'TSC13']	['P40526', 'Q99190']
IPR003653	Ulp1 protease family, C-terminal catalytic domain	2	['ULP2', 'ULP1']	['P40537', 'Q02724']
IPR013721	STAG	1	['IRR1']	['P40541']
IPR020839	Stromalin conservative domain	1	['IRR1']	['P40541']
IPR048610	Cohesin subunit SCC3, C-terminal domain	1	['IRR1']	['P40541']
IPR003103	BAG domain	1	['SNL1']	['P40548']
IPR015221	Ubiquitin-related modifier 1	1	['URM1']	['P40554']
IPR013766	Thioredoxin domain	14	['EPS1', 'TRX1', 'TRX2', 'EUG1', 'EUG1', 'GRX4', 'GRX3', 'MPD1', 'HYR1', 'PDI1', 'PDI1', 'MPD2', 'SCO2', 'TRX3']	['P40557', 'P22217', 'P22803', 'P32474', 'P32474', 'P32642', 'Q03835', 'Q12404', 'P40581', 'P17967', 'P17967', 'Q99316', 'P38072', 'P25372']
IPR019591	Mrp/NBP35 ATP-binding protein	2	['CFD1', 'NBP35']	['P40558', 'P52920']
IPR015374	Chs5p-Arf1p binding	4	['CHS6', 'BCH1', 'BUD7', 'BCH2']	['P40955', 'Q05029', 'Q08754', 'P36122']
IPR001683	Phox homology	15	['MVP1', 'SNX41', 'ATG20', 'SNX3', 'SNX4', 'BEM3', 'BEM1', 'SPO14', 'YPT35', 'VPS5', 'VAM7', 'VPS17', 'MDM1', '[]', '[]']	['P40959', 'Q04053', 'Q07528', 'Q08826', 'P47057', 'P32873', 'P29366', 'P36126', 'P38815', 'Q92331', 'P32912', 'P32913', 'Q01846', 'P36158', 'Q06839']
IPR045734	Sorting nexin 8/Mvp1, BAR domain	1	['MVP1']	['P40959']
IPR001107	Band 7 domain	2	['PHB1', 'PHB2']	['P40961', 'P50085']
IPR032847	Pre-mRNA-processing factor 17	1	['CDC40']	['P40968']
IPR004839	Aminotransferase, class I/classII, large domain	12	['LCB2', 'AAT2', 'ARO9', 'LCB1', 'BNA3', 'HEM1', 'ARO8', 'AAT1', 'ALT2', 'ALT1', 'HIS5', '[]']	['P40970', 'P23542', 'P38840', 'P25045', 'P47039', 'P09950', 'P53090', 'Q01802', 'P52892', 'P52893', 'P07172', 'P10356']
IPR007251	Low affinity iron permease, Fet4	2	['FET4', 'FET4']	['P40988', 'P40988']
IPR007676	Ribophorin I	1	['OST1']	['P41543']
IPR012572	Mad3/Bub1 homology region 2	2	['BUB1', 'MAD3']	['P41695', 'P47074']
IPR013212	Mad3/Bub1 homology region 1	2	['BUB1', 'MAD3']	['P41695', 'P47074']
IPR019411	MMM1 domain	2	['MMM1', 'NVJ2']	['P41800', 'Q06833']
IPR000253	Forkhead-associated (FHA) domain	16	['FKH2', 'TOS4', 'PML1', 'FHL1', 'FKH1', 'RAD53', 'RAD53', 'DMA1', 'VPS64', 'XRS2', 'DUN1', 'DMA2', 'FAR10', 'MEK1', 'PLM2', '[]']	['P41813', 'Q06266', 'Q07930', 'P39521', 'P40466', 'P22216', 'P22216', 'P38823', 'Q03944', 'P33301', 'P39009', 'P53924', 'Q06001', 'P24719', 'Q04383', 'P53156']
IPR001766	Fork head domain	4	['FKH2', 'FHL1', 'FKH1', 'HCM1']	['P41813', 'P39521', 'P40466', 'P25364']
IPR004099	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	3	['GLR1', 'IRC15', 'LPD1']	['P41921', 'Q02733', 'P09624']
IPR023753	FAD/NAD(P)-binding domain	10	['GLR1', 'TRR1', 'IRC15', 'NDI1', 'GLT1', 'NDE1', 'LPD1', 'TRR2', 'NDE2', 'AIF1']	['P41921', 'P29509', 'Q02733', 'P32340', 'Q12680', 'P40215', 'P09624', 'P38816', 'Q07500', 'P52923']
IPR024041	Ammonium transporter AmtB-like domain	3	['MEP2', 'MEP1', 'MEP3']	['P41948', 'P40260', 'P53390']
IPR000905	Gcp-like domain	2	['QRI7', 'KAE1']	['P43122', 'P36132']
IPR003323	OTU domain	2	['OTU1', 'OTU2']	['P43558', 'P38747']
IPR048857	OTU1, Ubl domain	1	['OTU1']	['P43558']
IPR007941	Protein of unknown function DUF726	1	['MIL1']	['P43564']
IPR003807	Domain of unknown function DUF202	4	['VTC2', 'VTC3', 'VTC1', 'VTC4']	['P43585', 'Q02725', 'P40046', 'P47075']
