	Domain name	Count	Proteins
IPR003593	['AAA+ ATPase domain']	61	['DMC1', 'MSP1', 'NAM7', 'AFG2', 'AFG2', 'YME1', 'RFC4', 'PEX1', 'PEX1', 'RPT3', 'RFC5', 'MCX1', 'RRM3', 'RPT2', 'YTA7', 'YTA12', 'SLH1', 'SLH1', 'RFC1', 'RFC2', 'VPS4', 'RVB2', 'CDC6', 'RAD51', 'RPT5', 'HSP78', 'HSP78', 'PEX6', 'PIM1', 'RPT4', 'RVB1', 'SEC18', 'SEC18', 'RAD57', 'CDC48', 'CDC48', 'HSP104', 'HSP104', 'BCS1', 'RPT1', 'DYN1', 'DYN1', 'DYN1', 'RFC3', 'AFG3', 'CTF18', 'ORC1', 'RPT6', 'MDN1', 'MDN1', 'MDN1', 'MDN1', 'MDN1', 'MDN1', 'HCS1', 'PCH2', 'MGS1', 'RIX7', 'RIX7', 'SAP1', 'YTA6']
IPR020587	['DNA recombination and repair protein RecA, monomer-monomer interface']	2	['DMC1', 'RAD51']
IPR018564	['DNA replication checkpoint mediator, MRC1 domain']	1	['MRC1']
IPR002921	['Fungal lipase-like domain']	2	['ATG15', 'LIH1']
IPR000432	['DNA mismatch repair protein MutS, C-terminal']	6	['MSH2', 'MSH3', 'MSH1', 'MSH6', 'MSH5', 'MSH4']
IPR007695	['DNA mismatch repair protein MutS-like, N-terminal']	4	['MSH2', 'MSH3', 'MSH1', 'MSH6']
IPR007696	['DNA mismatch repair protein MutS, core']	6	['MSH2', 'MSH3', 'MSH1', 'MSH6', 'MSH5', 'MSH4']
IPR007860	['DNA mismatch repair protein MutS, connector domain']	5	['MSH2', 'MSH3', 'MSH1', 'MSH6', 'MSH4']
IPR031675	['Serine-threonine protein phosphatase, N-terminal']	4	['PPZ1', 'GLC7', 'PPQ1', 'PPZ2']
IPR006083	['Phosphoribulokinase/uridine kinase']	3	['URK1', 'NRK1', 'DAS2']
IPR020616	['Thiolase, N-terminal']	2	['POT1', 'ERG10']
IPR020617	['Thiolase, C-terminal']	2	['POT1', 'ERG10']
IPR039556	['ICL/PEPM domain']	2	['ICL1', 'ICL2']
IPR024084	['Isopropylmalate dehydrogenase-like domain']	7	['IDH2', 'LYS12', 'IDP1', 'IDP2', 'IDH1', 'IDP3', 'LEU2']
IPR005720	['Dihydroorotate dehydrogenase, catalytic']	1	['URA1']
IPR022742	['Serine aminopeptidase, S33']	3	['YJU3', '[]', '[]']
IPR007052	['CS domain']	3	['SBA1', 'SGT1', 'SHQ1']
IPR041569	['AAA ATPase, AAA+ lid domain']	21	['MSP1', 'AFG2', 'AFG2', 'YME1', 'PEX1', 'RPT2', 'YTA7', 'YTA12', 'VPS4', 'RPT5', 'RPT4', 'SEC18', 'CDC48', 'CDC48', 'RPT1', 'AFG3', 'RPT6', 'RIX7', 'RIX7', 'SAP1', 'YTA6']
IPR045004	['Enoyl-CoA hydratase/isomerase domain']	1	['EHD3']
IPR023410	['14-3-3 domain']	2	['BMH1', 'BMH2']
IPR001662	['Elongation factor 1B gamma, C-terminal']	2	['CAM1', 'TEF4']
IPR004045	['Glutathione S-transferase, N-terminal']	9	['CAM1', 'URE2', 'ECM4', 'GTT2', 'GTT1', 'GTO1', 'TEF4', 'GTO3', '[]']
IPR004046	['Glutathione S-transferase, C-terminal']	6	['CAM1', 'URE2', 'GTT2', 'GTT1', 'TEF4', '[]']
IPR010987	['Glutathione S-transferase, C-terminal-like']	7	['CAM1', 'ECM4', 'GTT2', 'GTT1', 'TEF4', 'GTO3', '[]']
IPR020846	['Major facilitator superfamily domain']	63	['ITR1', 'HXT1', 'HXT6', 'HXT15', 'HXT11', 'HXT2', 'HXT4', 'MAL11', 'RGT2', 'JEN1', 'HXT7', 'SNF3', 'PHO84', 'GIT1', 'HXT3', 'HXT5', 'TPO1', 'ATR1', 'HXT8', 'HXT14', 'HXT16', 'AZR1', 'ENB1', 'VBA3', 'ITR2', 'QDR3', 'QDR1', 'TPO2', 'TPO3', 'MPH3', 'DTR1', 'ARN2', 'STL1', 'HXT17', 'AQR1', 'MPH2', 'QDR2', 'HXT9', 'HXT10', 'GAL2', 'HXT13', 'AMF1', 'HXT12', 'BSC6', 'VBA5', 'MAL31', 'YHK8', '[]', 'VBA4', 'MCH4', 'MCH5', '[]', '[]', 'FLR1', '[]', 'VBA2', 'VPS73', 'VBA1', 'SGE1', '[]', '[]', '[]', '[]']
IPR006642	['Rad18, zinc finger UBZ4-type']	3	['PSO2', 'RAD18', 'MGS1']
IPR011084	['DNA repair metallo-beta-lactamase']	1	['PSO2']
IPR018999	['RNA helicase UPF1, Cys/His rich zinc-binding domain']	1	['NAM7']
IPR040812	['RNA helicase UPF1, 1B domain']	1	['NAM7']
IPR041679	['DNA2/NAM7 helicase-like, C-terminal']	5	['NAM7', 'ECM32', 'DNA2', 'SEN1', 'HCS1']
IPR001465	['Malate synthase, TIM barrel domain']	2	['MLS1', 'DAL7']
IPR048355	['Malate synthase, C-terminal domain']	2	['MLS1', 'DAL7']
IPR048356	['Malate synthase, N-terminal domain']	2	['MLS1', 'DAL7']
IPR000330	['SNF2, N-terminal']	17	['RAD16', 'FUN30', 'STH1', 'ISW1', 'INO80', 'SWR1', 'RAD5', 'RAD54', 'RDH54', 'ISW2', 'CHD1', 'IRC20', 'SNF2', 'MOT1', 'RAD26', 'ULS1', 'IRC5']
IPR001841	['Zinc finger, RING-type']	36	['RAD16', 'TUL1', 'CWC24', 'HEL2', 'HEL1', 'TFB3', 'ITT1', 'ITT1', 'RKR1', 'RAD18', 'RAD5', 'HRT1', 'PEP5', 'DMA1', 'PEX10', 'IRC20', 'BRE1', 'HRD1', 'APC11', 'FAR1', 'MOT2', 'VPS8', 'SLX8', 'DMA2', 'PIB1', 'PIB1', 'RTC1', 'ULS1', 'PSH1', 'SAN1', 'ETP1', 'FAP1', 'MAG2', 'ASR1', 'ASR1', '[]']
IPR000014	['PAS domain']	4	['PSK1', 'PSK1', 'PSK2', 'ERT1']
IPR003265	['HhH-GPD domain']	4	['NTG1', 'OGG1', 'MAG1', 'NTG2']
IPR000257	['Uroporphyrinogen decarboxylase (URO-D)']	1	['HEM12']
IPR013234	['PIGA, GPI anchor biosynthesis']	1	['SPT14']
IPR001752	['Kinesin motor domain']	6	['SMY1', 'CIN8', 'KIP1', 'KIP3', 'KAR3', 'KIP2']
IPR019136	['Transcription factor IIIC subunit 5, HTH domain']	1	['TFC1']
IPR041499	['Transcription factor IIIC subunit Tfc1/Sfc1, triple barrel domain']	1	['TFC1']
IPR002013	['SAC domain']	5	['SAC1', 'INP51', 'INP52', 'FIG4', 'INP53']
IPR003439	['ABC transporter-like, ATP-binding domain']	53	['YBT1', 'YBT1', 'PXA2', 'YCF1', 'YCF1', 'PDR12', 'PDR12', 'RLI1', 'RLI1', 'YEF3', 'YEF3', 'PDR5', 'PDR5', 'MDL1', 'ARB1', 'ARB1', 'ATM1', 'HEF3', 'HEF3', 'NEW1', 'NEW1', 'STE6', 'STE6', 'BPT1', 'BPT1', 'YOR1', 'YOR1', 'PXA1', 'GCN20', 'GCN20', 'CAF16', 'PDR15', 'PDR15', 'MDL2', 'PDR11', 'PDR11', 'NFT1', 'VMR1', 'VMR1', 'PDR10', 'PDR10', 'PDR18', 'PDR18', 'AUS1', 'AUS1', 'ADP1', 'SNQ2', 'SNQ2', '[]', '[]', '[]', '[]', '[]']
IPR011527	['ABC transporter type 1, transmembrane domain']	19	['YBT1', 'YBT1', 'PXA2', 'YCF1', 'YCF1', 'MDL1', 'ATM1', 'STE6', 'STE6', 'BPT1', 'BPT1', 'YOR1', 'YOR1', 'PXA1', 'MDL2', 'NFT1', 'NFT1', 'VMR1', 'VMR1']
IPR001236	['Lactate/malate dehydrogenase, N-terminal']	3	['MDH3', 'MDH2', 'MDH1']
IPR022383	['Lactate/malate dehydrogenase, C-terminal']	3	['MDH3', 'MDH2', 'MDH1']
IPR014782	['Peptidase M1, membrane alanine aminopeptidase']	4	['APE2', 'TMA108', 'LAP2', 'AAP1']
IPR024571	['ERAP1-like C-terminal domain']	3	['APE2', 'TMA108', 'AAP1']
IPR045357	['Aminopeptidase N-like , N-terminal domain']	4	['APE2', 'TMA108', 'LAP2', 'AAP1']
IPR030379	['Septin-type guanine nucleotide-binding (G) domain']	7	['CDC3', 'CDC11', 'CDC10', 'SPR28', 'SHS1', 'CDC12', 'SPR3']
IPR033248	['Transketolase, C-terminal domain']	3	['PDB1', 'TKL1', 'TKL2']
IPR000757	['Glycoside hydrolase family 16']	5	['KRE6', 'CRH1', 'UTR2', 'CRR1', 'SKN1']
IPR002710	['Dilute domain']	3	['MYO4', 'MYO2', '[]']
IPR000261	['EH domain']	9	['PAN1', 'PAN1', 'EDE1', 'EDE1', 'EDE1', 'END3', 'END3', 'TAX4', 'IRS4']
IPR013182	['Domain of unknown function DUF1720']	2	['PAN1', 'PAN1']
IPR023801	['Histone deacetylase domain']	5	['RPD3', 'HOS3', 'HDA1', 'HOS2', 'HOS1']
IPR007651	['Lipin, N-terminal']	1	['PAH1']
IPR013209	['Lipin/Ned1/Smp2 (LNS2)']	1	['PAH1']
IPR001487	['Bromodomain']	16	['STH1', 'RSC2', 'RSC2', 'BDF2', 'BDF2', 'YTA7', 'SPT7', 'GCN5', 'SNF2', 'BDF1', 'BDF1', 'RSC1', 'RSC1', 'RSC58', 'RSC4', 'RSC4']
IPR014012	['Helicase/SANT-associated domain']	4	['STH1', 'SWR1', 'SNF2', 'EAF1']
IPR029295	['Snf2, ATP coupling domain']	2	['STH1', 'SNF2']
IPR011598	['Myc-type, basic helix-loop-helix (bHLH) domain']	8	['RTG1', 'CBF1', 'PHO4', 'TYE7', 'RTG3', 'INO4', 'INO2', 'HMS1']
IPR041094	['Brr2, N-terminal helicase PWI domain']	1	['BRR2']
IPR048863	['Pre-mRNA-splicing helicase BRR2-like, plug domain']	1	['BRR2']
IPR025714	['Methyltransferase domain']	2	['TMT1', 'EFM4']
IPR015033	['HBS1-like protein, N-terminal']	1	['HBS1']
IPR005607	['BSD domain']	3	['TFB1', 'TFB1', 'DOS2']
IPR013876	['TFIIH p62 subunit, N-terminal']	1	['TFB1']
IPR002123	['Phospholipid/glycerol acyltransferase']	6	['SCT1', 'TAZ1', 'SLC1', 'GPT2', 'CST26', '[]']
IPR000642	['Peptidase M41']	3	['YME1', 'YTA12', 'AFG3']
IPR048438	['Yme1-like, N-terminal domain']	1	['YME1']
IPR004217	['Tim10-like']	5	['TIM12', 'TIM13', 'TIM9', 'TIM10', 'TIM8']
IPR002379	['V-ATPase proteolipid subunit C-like domain']	7	['VMA11', 'VMA11', 'VMA16', 'VMA16', 'OLI1', 'VMA3', 'VMA3']
IPR000727	['Target SNARE coiled-coil homology domain']	17	['PEP12', 'SSO2', 'VTI1', 'BET1', 'TLG1', 'VAM3', 'SFT1', 'SED5', 'SPO20', 'SEC9', 'SEC9', 'TLG2', 'SYN8', 'SSO1', 'VAM7', 'UFE1', 'CSS1']
IPR006011	['Syntaxin, N-terminal domain']	3	['PEP12', 'SSO2', 'SSO1']
IPR001075	['NIF system FeS cluster assembly, NifU, C-terminal']	1	['NFU1']
IPR014824	['Scaffold protein Nfu/NifU, N-terminal']	1	['NFU1']
IPR007863	['Peptidase M16, C-terminal']	8	['CYM1', 'CYM1', 'COR1', 'MAS1', 'MAS2', 'STE23', 'STE23', '[]']
IPR011765	['Peptidase M16, N-terminal']	8	['CYM1', 'COR1', 'MAS1', 'AXL1', 'QCR2', 'MAS2', 'STE23', '[]']
IPR013578	['Peptidase M16C associated']	1	['CYM1']
IPR003395	['RecF/RecN/SMC, N-terminal']	6	['SMC1', 'SMC3', 'SMC4', 'SMC2', 'SMC2', 'SMC5']
IPR022800	['Spt4/RpoE2 zinc finger']	1	['SPT4']
IPR000569	['HECT domain']	5	['UFD4', 'TOM1', 'RSP5', 'HUL5', 'HUL4']
IPR042855	['v-SNARE, coiled-coil homology domain']	5	['SNC2', 'YKT6', 'NYV1', 'SEC22', 'SNC1']
IPR005844	['Alpha-D-phosphohexomutase, alpha/beta/alpha domain I']	4	['PGM1', 'PCM1', 'PGM2', 'PRM15']
IPR005845	['Alpha-D-phosphohexomutase, alpha/beta/alpha domain II']	3	['PGM1', 'PGM2', 'PRM15']
IPR005846	['Alpha-D-phosphohexomutase, alpha/beta/alpha domain III']	3	['PGM1', 'PGM2', 'PRM15']
IPR003342	['Glycosyl transferase family 39/83']	7	['PMT1', 'PMT4', 'PMT2', 'PMT3', 'PMT5', 'PMT6', 'PMT7']
IPR016093	['MIR motif']	7	['PMT1', 'PMT4', 'PMT2', 'PMT3', 'PMT5', 'PMT6', 'PMT7']
IPR032421	['Protein O-mannosyl-transferase, C-terminal four TM domain']	6	['PMT1', 'PMT4', 'PMT2', 'PMT3', 'PMT5', 'PMT6']
IPR005576	['RNA polymerase Rpb7-like , N-terminal']	3	['RPB7', 'RPA43', 'RPC25']
IPR000073	['Alpha/beta hydrolase fold-1']	15	['TGL1', 'EAT1', 'LDH1', 'EHT1', 'CLD1', 'MGL2', 'LPX1', 'IMO32', 'MET2', 'EEB1', 'ICT1', 'ECM18', 'PPE1', '[]', '[]']
IPR006828	['Association with the SNF1 complex (ASC) domain']	3	['SIP2', 'SIP1', 'GAL83']
IPR032640	['AMP-activated protein kinase, glycogen-binding domain']	6	['SIP2', 'SIP1', 'GAL83', 'MDG1', 'CRP1', '[]']
IPR000504	['RNA recognition motif domain']	100	['PIN4', 'WHI3', 'NAB3', 'NRD1', 'BRE5', 'PAB1', 'PAB1', 'PAB1', 'PAB1', 'NOP4', 'NOP4', 'NOP4', 'NOP4', 'IST3', 'CBC2', 'MUD1', 'MUD1', 'LHP1', 'NAM8', 'NAM8', 'NAM8', 'NPL3', 'NPL3', 'SBP1', 'SBP1', 'RNA15', 'TIF3', 'RIM4', 'RIM4', 'HRB1', 'HRB1', 'HRB1', 'MRD1', 'MRD1', 'MRD1', 'MRD1', 'MRD1', 'CWC2', 'PRT1', 'GBP2', 'GBP2', 'GBP2', 'NSR1', 'NSR1', 'PUB1', 'PUB1', 'PUB1', 'MOT2', 'NOP15', 'SNP1', 'TIF35', 'HRP1', 'HRP1', 'PRP24', 'PRP24', 'PRP24', 'PRP24', 'NAB6', 'NAB6', 'YRA1', 'NGR1', 'NGR1', 'NGR1', 'PTI1', 'MIP6', 'MIP6', 'MIP6', 'MIP6', 'CUS2', 'CUS2', 'NOP6', 'YME2', 'NOP8', 'MRN1', 'MRN1', 'MRN1', 'MRN1', 'HSH49', 'HSH49', 'YRA2', 'JSN1', 'NOP12', 'NOP12', 'PES4', 'PES4', 'PES4', 'PES4', 'WHI4', 'SGN1', 'MSL1', 'RRT5', 'PUF2', 'NRP1', 'NOP13', 'NOP13', '[]', '[]', '[]', 'RNP1', 'RNP1']
IPR034069	['R3H domain, Cip2-type']	1	['PIN4']
IPR000679	['Zinc finger, GATA-type']	10	['ASH1', 'GLN3', 'DAL80', 'GAT1', 'GZF3', 'SRD1', 'ECM23', 'GAT3', 'GAT2', 'GAT4']
IPR021714	['Nucleolar pre-ribosomal-associated protein 1, N-terminal']	1	['URB1']
IPR032436	['Nucleolar pre-ribosomal-associated protein 1, C-terminal domain']	1	['URB1']
IPR000306	['FYVE zinc finger']	6	['FAB1', 'PEP7', 'PEP7', 'VPS27', 'PIB2', 'PIB1']
IPR002498	['Phosphatidylinositol-4-phosphate 4/5-kinase, core']	2	['FAB1', 'MSS4']
IPR000866	['Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant']	4	['TSA1', 'PRX1', 'DOT5', 'TSA2']
IPR019479	['Peroxiredoxin, C-terminal']	3	['TSA1', 'PRX1', 'TSA2']
IPR012961	['ATP-dependent RNA helicase Ski2/MTR4, C-terminal']	2	['SKI2', 'MTR4']
IPR040801	['Ski2, N-terminal domain']	1	['SKI2']
IPR048392	['Exosome RNA helicase MTR4-like, stalk']	2	['SKI2', 'MTR4']
IPR048727	['Ski2, beta-barrel domain']	1	['SKI2']
IPR000182	['GNAT domain']	15	['SPT10', 'KRE33', 'HPA2', 'NAT3', 'ARD1', 'HPA3', 'GCN5', 'MAK3', 'ELP3', 'NAT5', 'HAT1', 'GNA1', 'NAT4', 'PAA1', '[]']
IPR015416	['Zinc finger, H2C2-type, histone UAS binding']	1	['SPT10']
IPR012301	['Malic enzyme, N-terminal domain']	1	['MAE1']
IPR012302	['Malic enzyme, NAD-binding']	1	['MAE1']
IPR007567	['Mid2 domain']	2	['MID2', 'MTL1']
IPR013112	['FAD-binding 8']	8	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5']
IPR013121	['Ferric reductase, NAD binding domain']	8	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5']
IPR013130	['Ferric reductase transmembrane component-like domain']	9	['FRE2', 'AIM14', 'FRE7', 'FRE4', 'FRE3', 'FRE1', 'FRE6', 'FRE5', 'FRE8']
IPR000640	['Elongation factor EFG, domain V-like']	6	['SNU114', 'RIA1', 'EFT1', 'GUF1', 'MEF1', 'MEF2']
IPR005517	['Translation elongation factor EFG/EF2, domain IV']	3	['SNU114', 'EFT1', 'MEF1']
IPR031950	['116kDa U5 small nuclear ribonucleoprotein component, N-terminal']	1	['SNU114']
IPR002625	['Smr domain']	2	['CUE2', '[]']
IPR003892	['Ubiquitin system component CUE']	9	['CUE2', 'CUE2', 'CUE1', 'VPS9', 'CUE5', 'DEF1', 'CUE3', 'DON1', 'CUE4']
IPR000326	['Phosphatidic acid phosphatase type 2/haloperoxidase']	6	['AUR1', 'LCB3', 'DPP1', 'CAX4', 'LPP1', 'YSR3']
IPR001214	['SET domain']	12	['SET3', 'SET2', 'SET1', 'RKM1', 'CTM1', 'RKM3', 'SET5', 'SET4', 'RKM2', 'EFM1', 'SET6', 'RKM4']
IPR001965	['Zinc finger, PHD-type']	18	['SET3', 'JHD1', 'YNG1', 'RCO1', 'RCO1', 'CTI6', 'YNG2', 'JHD2', 'SNT2', 'SNT2', 'SNT2', 'SPP1', 'PHO23', 'NTO1', 'NTO1', 'BYE1', 'ECM5', 'SET4']
IPR000644	['CBS domain']	23	['GEF1', 'GEF1', 'IMD2', 'IMD2', 'IMD4', 'IMD4', 'IMD3', 'IMD3', 'SNF4', 'SNF4', 'SNF4', 'SNF4', 'CYS4', 'CYS4', 'MAM3', 'IMD1', 'IMD1', 'SDS23', 'SDS23', 'SDS24', 'SDS24', 'SDS24', 'SDS24']
IPR039429	['Serine hydroxymethyltransferase-like domain']	2	['SHM2', 'SHM1']
IPR003124	['WH2 domain']	3	['VRP1', 'VRP1', 'LAS17']
IPR007185	['DNA polymerase alpha/delta/epsilon, subunit B']	3	['POL12', 'DPB2', 'POL31']
IPR013627	['DNA polymerase alpha, subunit B, N-terminal']	1	['POL12']
IPR007582	['TFIID subunit TAF5, NTD2 domain']	1	['TAF5']
IPR001208	['MCM domain']	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']
IPR027925	['MCM, N-terminal domain']	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']
IPR033762	['MCM OB domain']	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']
IPR041562	['MCM, AAA-lid domain']	6	['MCM7', 'MCM6', 'MCM2', 'MCM5', 'MCM4', 'MCM3']
IPR000873	['AMP-dependent synthetase/ligase domain']	10	['PCS60', 'FAA4', 'ACS1', 'LYS2', 'FAT1', 'FAA1', 'FAA3', 'FAA2', 'ACS2', '[]']
IPR025110	['AMP-binding enzyme, C-terminal domain']	3	['PCS60', 'ACS1', 'ACS2']
IPR015194	['ISWI, HAND domain']	2	['ISW1', 'ISW2']
IPR015195	['SLIDE domain']	2	['ISW1', 'ISW2']
IPR011650	['Peptidase M20, dimerisation domain']	4	['DUG2', 'DUG1', 'CPS1', '[]']
IPR013904	['Transcriptional regulatory protein RXT2, N-terminal']	1	['RXT2']
IPR032403	['Exocyst component Exo84, C-terminal']	1	['EXO84']
IPR035075	['PRMT5 arginine-N-methyltransferase']	1	['HSL7']
IPR035247	['PRMT5, TIM barrel domain']	1	['HSL7']
IPR035248	['PRMT5, oligomerisation domain']	1	['HSL7']
IPR018491	['SLC12A transporter, C-terminal']	1	['VHC1']
IPR040752	['DNA mismatch repair protein HSM3, C-terminal domain']	1	['HSM3']
IPR041335	['DNA mismatch repair protein HSM3, N-terminal domain']	1	['HSM3']
IPR006121	['Heavy metal-associated domain, HMA']	5	['PCA1', 'CCS1', 'ATX1', 'CCC2', 'CCC2']
IPR044492	['P-type ATPase, haloacid dehalogenase domain']	15	['PCA1', 'SPF1', 'DNF2', 'PMR1', 'PMC1', 'ENA5', 'PMA1', 'ENA1', 'CCC2', 'ENA2', 'PMA2', 'DNF1', 'DRS2', 'NEO1', 'YPK9']
IPR041158	['Cue1, Ubc7p-binding domain']	1	['CUE1']
IPR002735	['Translation initiation factor IF2/IF5 domain']	2	['TIF5', 'SUI3']
IPR003307	['W2 domain']	2	['TIF5', 'GCD6']
IPR004181	['Zinc finger, MIZ-type']	3	['MMS21', 'SIZ1', 'NFI1']
IPR018767	['Brl1/Brr6 domain']	2	['BRL1', 'BRR6']
IPR024061	['NDT80 DNA-binding domain']	1	['NDT80']
IPR029347	['Raptor, N-terminal CASPase-like domain']	1	['KOG1']
IPR002715	['Nascent polypeptide-associated complex NAC domain']	3	['EGD2', 'EGD1', 'BTT1']
IPR044034	['Nascent polypeptide-associated complex subunit alpha-like, UBA domain']	1	['EGD2']
IPR000232	['Heat shock factor (HSF)-type, DNA-binding']	5	['SKN7', 'HSF1', 'SFL1', 'HMS2', 'MGA1']
IPR001789	['Signal transduction response regulator, receiver domain']	4	['SKN7', 'SLN1', 'RIM15', 'SSK1']
IPR006644	['Dystroglycan-type cadherin-like']	4	['AXL2', 'AXL2', 'AXL2', 'AXL2']
IPR009401	['Mediator complex subunit Med13, C-terminal']	2	['SSN2', 'SSN2']
IPR021643	['Mediator complex, subunit Med13, N-terminal']	1	['SSN2']
IPR026841	['Inositolphosphotransferase Aur1/Ipt1']	1	['IPT1']
IPR000403	['Phosphatidylinositol 3-/4-kinase, catalytic domain']	9	['PIK1', 'LSB6', 'TOR2', 'TEL1', 'STT4', 'VPS34', 'TOR1', 'MEC1', 'TRA1']
IPR001263	['Phosphoinositide 3-kinase, accessory (PIK) domain']	3	['PIK1', 'STT4', 'VPS34']
IPR000971	['Globin']	2	['YHB1', '[]']
IPR001433	['Oxidoreductase FAD/NAD(P)-binding']	8	['YHB1', 'NCP1', 'MCR1', 'CBR1', 'PGA3', 'TAH18', 'MET10', 'AIM33']
IPR008333	['Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain']	6	['YHB1', 'MCR1', 'CBR1', 'PGA3', 'CYC2', 'AIM33']
IPR024545	['Mto1-like, Mto2p-binding domain']	1	['SPC72']
IPR012936	['Endoplasmic reticulum vesicle transporter, C-terminal']	2	['ERV46', 'ERV41']
IPR039542	['Endoplasmic reticulum vesicle transporter, N-terminal']	2	['ERV46', 'ERV41']
IPR006085	['XPG, N-terminal']	6	['EXO1', 'RAD27', 'RAD2', 'MKT1', 'YEN1', 'DIN7']
IPR006086	['XPG-I domain']	6	['EXO1', 'RAD27', 'RAD2', 'MKT1', 'YEN1', 'DIN7']
IPR037315	['Exonuclease-1, H3TH domain']	1	['EXO1']
IPR048319	['Vps52, coiled-coil domain']	1	['VPS52']
IPR048361	['Vps52, C-terminal']	1	['VPS52']
IPR003660	['HAMP domain']	1	['SLN1']
IPR003661	['Signal transduction histidine kinase, dimerisation/phosphoacceptor domain']	1	['SLN1']
IPR022052	['Histone-binding protein RBBP4, N-terminal']	3	['HAT2', 'MSI1', 'RRB1']
IPR004443	['YjeF N-terminal domain']	2	['EDC3', 'NNR1']
IPR019050	['FDF domain']	2	['EDC3', 'SCD6']
IPR047575	['Sm domain']	2	['EDC3', 'LSM12']
IPR003347	['JmjC domain']	5	['JHD1', 'GIS1', 'RPH1', 'JHD2', 'ECM5']
IPR002912	['ACT domain']	5	['SER3', 'ILV6', 'SER33', 'HOM3', 'PHA2']
IPR006139	['D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain']	5	['SER3', 'GOR1', 'SER33', 'FDH1', '[]']
IPR012952	['BING4, C-terminal domain']	1	['UTP7']
IPR028267	['Rapamycin-insensitive companion of mTOR, N-terminal domain']	1	['TSC11']
IPR029451	['Rapamycin-insensitive companion of mTOR, middle domain']	1	['TSC11']
IPR029452	['Rapamycin-insensitive companion of mTOR, domain 5']	1	['TSC11']
IPR029453	['Rapamycin-insensitive companion of mTOR, domain 4']	1	['TSC11']
IPR000535	['Major sperm protein (MSP) domain']	2	['SCS2', 'SCS22']
IPR048320	['Conserved oligomeric Golgi complex subunit 3, N-terminal']	1	['COG3']
IPR048685	['Conserved oligomeric Golgi complex subunit 3, C-terminal']	1	['COG3']
IPR000426	['Proteasome alpha-subunit, N-terminal domain']	7	['PRE6', 'PRE10', 'PRE8', 'PUP2', 'SCL1', 'PRE5', 'PRE9']
IPR013748	['Replication factor C, C-terminal']	3	['RFC4', 'RFC2', 'RFC3']
IPR006581	['VPS10']	8	['VTH1', 'VTH1', 'PEP1', 'PEP1', 'VTH2', 'VTH2', '[]', '[]']
IPR040967	['Domain of unknown function DUF5595']	1	['NDC80']
IPR006895	['Zinc finger, Sec23/Sec24-type']	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']
IPR006896	['Sec23/Sec24, trunk domain']	5	['SEC24', 'SEC23', 'SFB3', 'SFB2', 'NEL1']
IPR006900	['Sec23/Sec24, helical domain']	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']
IPR007123	['Gelsolin-like domain']	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']
IPR012990	['Sec23/Sec24 beta-sandwich']	4	['SEC24', 'SEC23', 'SFB3', 'SFB2']
IPR001849	['Pleckstrin homology domain']	31	['SLM1', 'NUM1', 'SPO71', 'SPO71', 'SYT1', 'SKM1', 'BOI1', 'OSH3', 'SIP3', 'CLA4', 'SLM2', 'ATG26', 'NVJ2', 'BEM3', 'BEM2', 'SWH1', 'SPO14', 'LAM1', 'CDC24', 'BOI2', 'BUD4', 'OSH2', 'LMO1', 'ASK10', 'CAF120', 'TUS1', 'SKG3', 'SKG3', 'RGC1', 'OPY1', 'OPY1']
IPR046868	['SLM1/RGC1-like, BAR-like domain']	4	['SLM1', 'SLM2', 'ASK10', 'RGC1']
IPR006595	['CTLH, C-terminal LisH motif']	4	['FYV10', 'RMD5', 'VID30', 'GID8']
IPR024964	['CTLH/CRA C-terminal to LisH motif domain']	2	['FYV10', 'RMD5']
IPR044063	['Gid-type RING finger domain']	1	['FYV10']
IPR001104	['3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal']	2	['DFG10', 'TSC13']
IPR013721	['STAG']	1	['IRR1']
IPR020839	['Stromalin conservative domain']	1	['IRR1']
IPR048610	['Cohesin subunit SCC3, C-terminal domain']	1	['IRR1']
IPR003103	['BAG domain']	1	['SNL1']
IPR013766	['Thioredoxin domain']	14	['EPS1', 'TRX1', 'TRX2', 'EUG1', 'EUG1', 'GRX4', 'GRX3', 'MPD1', 'HYR1', 'PDI1', 'PDI1', 'MPD2', 'SCO2', 'TRX3']
IPR001683	['Phox homology']	15	['MVP1', 'SNX41', 'ATG20', 'SNX3', 'SNX4', 'BEM3', 'BEM1', 'SPO14', 'YPT35', 'VPS5', 'VAM7', 'VPS17', 'MDM1', '[]', '[]']
IPR045734	['Sorting nexin 8/Mvp1, BAR domain']	1	['MVP1']
IPR001107	['Band 7 domain']	2	['PHB1', 'PHB2']
